realtime_start,date,value
2014-09-26 00:00:00,1947-04-01 00:00:00,-0.4
2018-07-27 00:00:00,1947-04-01 00:00:00,-1.0
2021-07-29 00:00:00,1947-04-01 00:00:00,-1.1
2023-09-28 00:00:00,1947-04-01 00:00:00,-1.0
2014-09-26 00:00:00,1947-07-01 00:00:00,-0.4
2018-07-27 00:00:00,1947-07-01 00:00:00,-0.8
2014-09-26 00:00:00,1947-10-01 00:00:00,6.4
2014-09-26 00:00:00,1948-01-01 00:00:00,6.0
2018-07-27 00:00:00,1948-01-01 00:00:00,6.2
2014-09-26 00:00:00,1948-04-01 00:00:00,6.7
2018-07-27 00:00:00,1948-04-01 00:00:00,6.8
2014-09-26 00:00:00,1948-07-01 00:00:00,2.3
2014-09-26 00:00:00,1948-10-01 00:00:00,0.4
2021-07-29 00:00:00,1948-10-01 00:00:00,0.5
2014-09-26 00:00:00,1949-01-01 00:00:00,-5.4
2014-09-26 00:00:00,1949-04-01 00:00:00,-1.3
2018-07-27 00:00:00,1949-04-01 00:00:00,-1.4
2014-09-26 00:00:00,1949-07-01 00:00:00,4.5
2018-07-27 00:00:00,1949-07-01 00:00:00,4.2
2014-09-26 00:00:00,1949-10-01 00:00:00,-3.5
2018-07-27 00:00:00,1949-10-01 00:00:00,-3.3
2014-09-26 00:00:00,1950-01-01 00:00:00,16.9
2018-07-27 00:00:00,1950-01-01 00:00:00,16.7
2021-07-29 00:00:00,1950-01-01 00:00:00,16.6
2023-09-28 00:00:00,1950-01-01 00:00:00,16.7
2014-09-26 00:00:00,1950-04-01 00:00:00,12.7
2018-07-27 00:00:00,1950-04-01 00:00:00,12.8
2023-09-28 00:00:00,1950-04-01 00:00:00,12.7
2014-09-26 00:00:00,1950-07-01 00:00:00,16.3
2018-07-27 00:00:00,1950-07-01 00:00:00,16.4
2014-09-26 00:00:00,1950-10-01 00:00:00,8.0
2018-07-27 00:00:00,1950-10-01 00:00:00,7.9
2014-09-26 00:00:00,1951-01-01 00:00:00,5.6
2018-07-27 00:00:00,1951-01-01 00:00:00,5.5
2014-09-26 00:00:00,1951-04-01 00:00:00,7.1
2014-09-26 00:00:00,1951-07-01 00:00:00,8.5
2014-09-26 00:00:00,1951-10-01 00:00:00,0.9
2014-09-26 00:00:00,1952-01-01 00:00:00,4.3
2014-09-26 00:00:00,1952-04-01 00:00:00,0.8
2018-07-27 00:00:00,1952-04-01 00:00:00,0.9
2023-09-28 00:00:00,1952-04-01 00:00:00,0.8
2014-09-26 00:00:00,1952-07-01 00:00:00,2.9
2014-09-26 00:00:00,1952-10-01 00:00:00,13.8
2014-09-26 00:00:00,1953-01-01 00:00:00,7.7
2018-07-27 00:00:00,1953-01-01 00:00:00,7.6
2023-09-28 00:00:00,1953-01-01 00:00:00,7.7
2014-09-26 00:00:00,1953-04-01 00:00:00,3.2
2018-07-27 00:00:00,1953-04-01 00:00:00,3.1
2014-09-26 00:00:00,1953-07-01 00:00:00,-2.2
2014-09-26 00:00:00,1953-10-01 00:00:00,-5.9
2014-09-26 00:00:00,1954-01-01 00:00:00,-1.8
2018-07-27 00:00:00,1954-01-01 00:00:00,-1.9
2014-09-26 00:00:00,1954-04-01 00:00:00,0.4
2014-09-26 00:00:00,1954-07-01 00:00:00,4.6
2014-09-26 00:00:00,1954-10-01 00:00:00,8.0
2018-07-27 00:00:00,1954-10-01 00:00:00,8.1
2014-09-26 00:00:00,1955-01-01 00:00:00,11.9
2014-09-26 00:00:00,1955-04-01 00:00:00,6.7
2021-07-29 00:00:00,1955-04-01 00:00:00,6.6
2023-09-28 00:00:00,1955-04-01 00:00:00,6.7
2014-09-26 00:00:00,1955-07-01 00:00:00,5.5
2014-09-26 00:00:00,1955-10-01 00:00:00,2.4
2014-09-26 00:00:00,1956-01-01 00:00:00,-1.5
2014-09-26 00:00:00,1956-04-01 00:00:00,3.4
2018-07-27 00:00:00,1956-04-01 00:00:00,3.3
2014-09-26 00:00:00,1956-07-01 00:00:00,-0.3
2018-07-27 00:00:00,1956-07-01 00:00:00,-0.4
2023-09-28 00:00:00,1956-07-01 00:00:00,-0.3
2014-09-26 00:00:00,1956-10-01 00:00:00,6.7
2021-07-29 00:00:00,1956-10-01 00:00:00,6.8
2014-09-26 00:00:00,1957-01-01 00:00:00,2.6
2014-09-26 00:00:00,1957-04-01 00:00:00,-0.9
2014-09-26 00:00:00,1957-07-01 00:00:00,4.0
2014-09-26 00:00:00,1957-10-01 00:00:00,-4.0
2018-07-27 00:00:00,1957-10-01 00:00:00,-4.1
2014-09-26 00:00:00,1958-01-01 00:00:00,-10.0
2014-09-26 00:00:00,1958-04-01 00:00:00,2.6
2018-07-27 00:00:00,1958-04-01 00:00:00,2.7
2021-07-29 00:00:00,1958-04-01 00:00:00,2.6
2023-09-28 00:00:00,1958-04-01 00:00:00,2.7
2014-09-26 00:00:00,1958-07-01 00:00:00,9.6
2014-09-26 00:00:00,1958-10-01 00:00:00,9.7
2014-09-26 00:00:00,1959-01-01 00:00:00,7.7
2018-07-27 00:00:00,1959-01-01 00:00:00,7.9
2014-09-26 00:00:00,1959-04-01 00:00:00,10.1
2018-07-27 00:00:00,1959-04-01 00:00:00,9.3
2014-09-26 00:00:00,1959-07-01 00:00:00,-0.8
2018-07-27 00:00:00,1959-07-01 00:00:00,0.3
2014-09-26 00:00:00,1959-10-01 00:00:00,1.6
2018-07-27 00:00:00,1959-10-01 00:00:00,1.1
2014-09-26 00:00:00,1960-01-01 00:00:00,9.2
2018-07-27 00:00:00,1960-01-01 00:00:00,9.3
2014-09-26 00:00:00,1960-04-01 00:00:00,-1.5
2018-07-27 00:00:00,1960-04-01 00:00:00,-2.1
2014-09-26 00:00:00,1960-07-01 00:00:00,1.0
2018-07-27 00:00:00,1960-07-01 00:00:00,2.0
2014-09-26 00:00:00,1960-10-01 00:00:00,-4.8
2018-07-27 00:00:00,1960-10-01 00:00:00,-5.0
2014-09-26 00:00:00,1961-01-01 00:00:00,2.7
2014-09-26 00:00:00,1961-04-01 00:00:00,7.6
2018-07-27 00:00:00,1961-04-01 00:00:00,7.0
2014-09-26 00:00:00,1961-07-01 00:00:00,6.8
2018-07-27 00:00:00,1961-07-01 00:00:00,7.9
2014-09-26 00:00:00,1961-10-01 00:00:00,8.3
2018-07-27 00:00:00,1961-10-01 00:00:00,8.1
2014-09-26 00:00:00,1962-01-01 00:00:00,7.4
2018-07-27 00:00:00,1962-01-01 00:00:00,7.3
2014-09-26 00:00:00,1962-04-01 00:00:00,4.4
2018-07-27 00:00:00,1962-04-01 00:00:00,3.7
2014-09-26 00:00:00,1962-07-01 00:00:00,3.9
2018-07-27 00:00:00,1962-07-01 00:00:00,5.0
2014-09-26 00:00:00,1962-10-01 00:00:00,1.6
2018-07-27 00:00:00,1962-10-01 00:00:00,1.3
2014-09-26 00:00:00,1963-01-01 00:00:00,4.5
2018-07-27 00:00:00,1963-01-01 00:00:00,4.4
2014-09-26 00:00:00,1963-04-01 00:00:00,5.3
2018-07-27 00:00:00,1963-04-01 00:00:00,4.6
2014-09-26 00:00:00,1963-07-01 00:00:00,8.0
2018-07-27 00:00:00,1963-07-01 00:00:00,9.1
2014-09-26 00:00:00,1963-10-01 00:00:00,2.9
2018-07-27 00:00:00,1963-10-01 00:00:00,2.6
2021-07-29 00:00:00,1963-10-01 00:00:00,2.7
2023-09-28 00:00:00,1963-10-01 00:00:00,2.6
2014-09-26 00:00:00,1964-01-01 00:00:00,8.9
2018-07-27 00:00:00,1964-01-01 00:00:00,8.7
2014-09-26 00:00:00,1964-04-01 00:00:00,4.8
2018-07-27 00:00:00,1964-04-01 00:00:00,4.4
2014-09-26 00:00:00,1964-07-01 00:00:00,5.5
2018-07-27 00:00:00,1964-07-01 00:00:00,6.4
2014-09-26 00:00:00,1964-10-01 00:00:00,1.4
2018-07-27 00:00:00,1964-10-01 00:00:00,1.2
2014-09-26 00:00:00,1965-01-01 00:00:00,10.2
2018-07-27 00:00:00,1965-01-01 00:00:00,10.0
2014-09-26 00:00:00,1965-04-01 00:00:00,5.6
2018-07-27 00:00:00,1965-04-01 00:00:00,5.1
2021-07-29 00:00:00,1965-04-01 00:00:00,5.2
2014-09-26 00:00:00,1965-07-01 00:00:00,8.4
2018-07-27 00:00:00,1965-07-01 00:00:00,9.2
2014-09-26 00:00:00,1965-10-01 00:00:00,9.8
2018-07-27 00:00:00,1965-10-01 00:00:00,9.5
2014-09-26 00:00:00,1966-01-01 00:00:00,10.2
2018-07-27 00:00:00,1966-01-01 00:00:00,10.1
2014-09-26 00:00:00,1966-04-01 00:00:00,1.6
2018-07-27 00:00:00,1966-04-01 00:00:00,1.4
2014-09-26 00:00:00,1966-07-01 00:00:00,2.9
2018-07-27 00:00:00,1966-07-01 00:00:00,3.4
2014-09-26 00:00:00,1966-10-01 00:00:00,3.5
2018-07-27 00:00:00,1966-10-01 00:00:00,3.3
2014-09-26 00:00:00,1967-01-01 00:00:00,3.7
2018-07-27 00:00:00,1967-01-01 00:00:00,3.6
2014-09-26 00:00:00,1967-04-01 00:00:00,0.3
2018-07-27 00:00:00,1967-04-01 00:00:00,0.2
2021-07-29 00:00:00,1967-04-01 00:00:00,0.3
2023-09-28 00:00:00,1967-04-01 00:00:00,0.2
2014-09-26 00:00:00,1967-07-01 00:00:00,3.5
2018-07-27 00:00:00,1967-07-01 00:00:00,3.8
2014-09-26 00:00:00,1967-10-01 00:00:00,3.2
2018-07-27 00:00:00,1967-10-01 00:00:00,3.0
2021-07-29 00:00:00,1967-10-01 00:00:00,3.1
2014-09-26 00:00:00,1968-01-01 00:00:00,8.4
2014-09-26 00:00:00,1968-04-01 00:00:00,6.9
2014-09-26 00:00:00,1968-07-01 00:00:00,2.9
2018-07-27 00:00:00,1968-07-01 00:00:00,3.1
2014-09-26 00:00:00,1968-10-01 00:00:00,1.8
2018-07-27 00:00:00,1968-10-01 00:00:00,1.6
2014-09-26 00:00:00,1969-01-01 00:00:00,6.4
2014-09-26 00:00:00,1969-04-01 00:00:00,1.3
2018-07-27 00:00:00,1969-04-01 00:00:00,1.2
2014-09-26 00:00:00,1969-07-01 00:00:00,2.5
2018-07-27 00:00:00,1969-07-01 00:00:00,2.7
2014-09-26 00:00:00,1969-10-01 00:00:00,-1.7
2018-07-27 00:00:00,1969-10-01 00:00:00,-1.9
2014-09-26 00:00:00,1970-01-01 00:00:00,-0.7
2018-07-27 00:00:00,1970-01-01 00:00:00,-0.6
2014-09-26 00:00:00,1970-04-01 00:00:00,0.7
2018-07-27 00:00:00,1970-04-01 00:00:00,0.6
2014-09-26 00:00:00,1970-07-01 00:00:00,3.6
2018-07-27 00:00:00,1970-07-01 00:00:00,3.7
2014-09-26 00:00:00,1970-10-01 00:00:00,-4.0
2018-07-27 00:00:00,1970-10-01 00:00:00,-4.2
2014-09-26 00:00:00,1971-01-01 00:00:00,11.1
2018-07-27 00:00:00,1971-01-01 00:00:00,11.3
2014-09-26 00:00:00,1971-04-01 00:00:00,2.3
2018-07-27 00:00:00,1971-04-01 00:00:00,2.2
2014-09-26 00:00:00,1971-07-01 00:00:00,3.2
2018-07-27 00:00:00,1971-07-01 00:00:00,3.3
2014-09-26 00:00:00,1971-10-01 00:00:00,1.2
2018-07-27 00:00:00,1971-10-01 00:00:00,0.9
2021-07-29 00:00:00,1971-10-01 00:00:00,1.0
2023-09-28 00:00:00,1971-10-01 00:00:00,0.9
2014-09-26 00:00:00,1972-01-01 00:00:00,7.4
2018-07-27 00:00:00,1972-01-01 00:00:00,7.6
2014-09-26 00:00:00,1972-04-01 00:00:00,9.6
2018-07-27 00:00:00,1972-04-01 00:00:00,9.4
2014-09-26 00:00:00,1972-07-01 00:00:00,3.7
2018-07-27 00:00:00,1972-07-01 00:00:00,3.8
2014-09-26 00:00:00,1972-10-01 00:00:00,6.8
2018-07-27 00:00:00,1972-10-01 00:00:00,6.9
2014-09-26 00:00:00,1973-01-01 00:00:00,10.2
2018-07-27 00:00:00,1973-01-01 00:00:00,10.3
2014-09-26 00:00:00,1973-04-01 00:00:00,4.6
2018-07-27 00:00:00,1973-04-01 00:00:00,4.4
2014-09-26 00:00:00,1973-07-01 00:00:00,-2.2
2018-07-27 00:00:00,1973-07-01 00:00:00,-2.1
2014-09-26 00:00:00,1973-10-01 00:00:00,3.8
2021-07-29 00:00:00,1973-10-01 00:00:00,3.9
2014-09-26 00:00:00,1974-01-01 00:00:00,-3.3
2018-07-27 00:00:00,1974-01-01 00:00:00,-3.4
2014-09-26 00:00:00,1974-04-01 00:00:00,1.1
2018-07-27 00:00:00,1974-04-01 00:00:00,1.0
2014-09-26 00:00:00,1974-07-01 00:00:00,-3.8
2018-07-27 00:00:00,1974-07-01 00:00:00,-3.7
2014-09-26 00:00:00,1974-10-01 00:00:00,-1.6
2018-07-27 00:00:00,1974-10-01 00:00:00,-1.5
2014-09-26 00:00:00,1975-01-01 00:00:00,-4.7
2018-07-27 00:00:00,1975-01-01 00:00:00,-4.8
2014-09-26 00:00:00,1975-04-01 00:00:00,3.1
2018-07-27 00:00:00,1975-04-01 00:00:00,2.9
2014-09-26 00:00:00,1975-07-01 00:00:00,6.8
2018-07-27 00:00:00,1975-07-01 00:00:00,7.0
2014-09-26 00:00:00,1975-10-01 00:00:00,5.5
2014-09-26 00:00:00,1976-01-01 00:00:00,9.3
2014-09-26 00:00:00,1976-04-01 00:00:00,3.1
2018-07-27 00:00:00,1976-04-01 00:00:00,3.0
2014-09-26 00:00:00,1976-07-01 00:00:00,2.1
2018-07-27 00:00:00,1976-07-01 00:00:00,2.2
2014-09-26 00:00:00,1976-10-01 00:00:00,3.0
2018-07-27 00:00:00,1976-10-01 00:00:00,2.9
2014-09-26 00:00:00,1977-01-01 00:00:00,4.7
2018-07-27 00:00:00,1977-01-01 00:00:00,4.8
2014-09-26 00:00:00,1977-04-01 00:00:00,8.1
2018-07-27 00:00:00,1977-04-01 00:00:00,8.0
2014-09-26 00:00:00,1977-07-01 00:00:00,7.3
2018-07-27 00:00:00,1977-07-01 00:00:00,7.4
2014-09-26 00:00:00,1977-10-01 00:00:00,0.0
2014-09-26 00:00:00,1978-01-01 00:00:00,1.4
2018-07-27 00:00:00,1978-01-01 00:00:00,1.3
2014-09-26 00:00:00,1978-04-01 00:00:00,16.5
2018-07-27 00:00:00,1978-04-01 00:00:00,16.4
2014-09-26 00:00:00,1978-07-01 00:00:00,4.0
2018-07-27 00:00:00,1978-07-01 00:00:00,4.1
2014-09-26 00:00:00,1978-10-01 00:00:00,5.5
2014-09-26 00:00:00,1979-01-01 00:00:00,0.8
2018-07-27 00:00:00,1979-01-01 00:00:00,0.7
2014-09-26 00:00:00,1979-04-01 00:00:00,0.5
2018-07-27 00:00:00,1979-04-01 00:00:00,0.4
2014-09-26 00:00:00,1979-07-01 00:00:00,2.9
2018-07-27 00:00:00,1979-07-01 00:00:00,3.0
2014-09-26 00:00:00,1979-10-01 00:00:00,1.0
2014-09-26 00:00:00,1980-01-01 00:00:00,1.3
2014-09-26 00:00:00,1980-04-01 00:00:00,-7.9
2018-07-27 00:00:00,1980-04-01 00:00:00,-8.0
2014-09-26 00:00:00,1980-07-01 00:00:00,-0.6
2018-07-27 00:00:00,1980-07-01 00:00:00,-0.5
2014-09-26 00:00:00,1980-10-01 00:00:00,7.6
2018-07-27 00:00:00,1980-10-01 00:00:00,7.7
2014-09-26 00:00:00,1981-01-01 00:00:00,8.5
2018-07-27 00:00:00,1981-01-01 00:00:00,8.1
2014-09-26 00:00:00,1981-04-01 00:00:00,-2.9
2014-09-26 00:00:00,1981-07-01 00:00:00,4.7
2018-07-27 00:00:00,1981-07-01 00:00:00,4.9
2014-09-26 00:00:00,1981-10-01 00:00:00,-4.6
2018-07-27 00:00:00,1981-10-01 00:00:00,-4.3
2014-09-26 00:00:00,1982-01-01 00:00:00,-6.5
2018-07-27 00:00:00,1982-01-01 00:00:00,-6.1
2014-09-26 00:00:00,1982-04-01 00:00:00,2.2
2018-07-27 00:00:00,1982-04-01 00:00:00,1.8
2014-09-26 00:00:00,1982-07-01 00:00:00,-1.4
2018-07-27 00:00:00,1982-07-01 00:00:00,-1.5
2014-09-26 00:00:00,1982-10-01 00:00:00,0.4
2018-07-27 00:00:00,1982-10-01 00:00:00,0.2
2014-09-26 00:00:00,1983-01-01 00:00:00,5.3
2018-07-27 00:00:00,1983-01-01 00:00:00,5.4
2014-09-26 00:00:00,1983-04-01 00:00:00,9.4
2014-09-26 00:00:00,1983-07-01 00:00:00,8.1
2018-07-27 00:00:00,1983-07-01 00:00:00,8.2
2014-09-26 00:00:00,1983-10-01 00:00:00,8.5
2018-07-27 00:00:00,1983-10-01 00:00:00,8.6
2014-09-26 00:00:00,1984-01-01 00:00:00,8.2
2018-07-27 00:00:00,1984-01-01 00:00:00,8.1
2014-09-26 00:00:00,1984-04-01 00:00:00,7.2
2018-07-27 00:00:00,1984-04-01 00:00:00,7.1
2014-09-26 00:00:00,1984-07-01 00:00:00,4.0
2018-07-27 00:00:00,1984-07-01 00:00:00,3.9
2014-09-26 00:00:00,1984-10-01 00:00:00,3.2
2018-07-27 00:00:00,1984-10-01 00:00:00,3.3
2014-09-26 00:00:00,1985-01-01 00:00:00,4.0
2018-07-27 00:00:00,1985-01-01 00:00:00,3.9
2014-09-26 00:00:00,1985-04-01 00:00:00,3.7
2018-07-27 00:00:00,1985-04-01 00:00:00,3.6
2014-09-26 00:00:00,1985-07-01 00:00:00,6.4
2018-07-27 00:00:00,1985-07-01 00:00:00,6.2
2023-09-28 00:00:00,1985-07-01 00:00:00,6.3
2014-09-26 00:00:00,1985-10-01 00:00:00,3.0
2014-09-26 00:00:00,1986-01-01 00:00:00,3.8
2014-09-26 00:00:00,1986-04-01 00:00:00,1.9
2018-07-27 00:00:00,1986-04-01 00:00:00,1.8
2014-09-26 00:00:00,1986-07-01 00:00:00,4.1
2018-07-27 00:00:00,1986-07-01 00:00:00,3.9
2014-09-26 00:00:00,1986-10-01 00:00:00,2.1
2018-07-27 00:00:00,1986-10-01 00:00:00,2.2
